,text,neg,neu,pos,compound
13912,",,Don't miss Your chance to earn profit from this great project. I believe You will succeed and You will turn the world of the crypto industry. Good luck in Your endeavors.IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin",0.036,0.601,0.363,0.9413
11051,"Join this project, one of the most interesting ones that are available at this time. He has a great prospect to become the best in this area.
#cerlos #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.678,0.322,0.9402
9686,"Project idea is very interesting and will certainly benefit to all ! and is sure that it will prove to be very powerfully in the nearest future, and for investors it is a good opportunity to consider this project,
#cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable",0.0,0.689,0.311,0.9401
9252,Excellent company. I decided to study it in detail and saw that the project is really actively developing. great opportunity for community to grab juiice tokens and join the platform. #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH,0.0,0.671,0.329,0.9399
3009,"Why do we need to save the bees? I'm glad you asked. Have a read and find out about these and other awesome pollinators. Link in bio. Like and share! 
 #sustainable #sustainability #bees #savethebees #savethebugs…  https://www.instagram.com/p/CAfKTpplsFR/?igshid=qozj8s36bkgy …",0.0,0.657,0.343,0.9398
10872,"#cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain
A very worthy project, which will undoubtedly achieve great success, because it has a huge potential and vision for the future!",0.0,0.596,0.404,0.9391
12955,"Strong and well-coordinated team, so there are very high chances of success here! In addition high-quality implementation of the platform inspires confidence #IEO #STO #buildingmaterials #sustainable #sustainability #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.651,0.349,0.939
13928,"Absolutely love @Waste2TasteOx #socialenterprise #cafe in OX4. Lip-smackingly delicious food, gorgeous people and #sustainable too. Highly, highly recommended. #Oxford #yummy #Sustainability #Socialimpact pic.twitter.com/MuQXIa283M",0.0,0.566,0.434,0.9389
7476,"Congratulations @PrimaLoft on winning the 2019 BIG Sustainability Awards. Will you win in 2020? Nominate now! #BIGAwards #Sustainability #Sustainable
 https://buff.ly/2JLc99w  pic.twitter.com/3maL9kKGSD",0.0,0.542,0.458,0.937
5364,"Congratulations @MilliporeSigma on winning the 2019 BIG Sustainability Awards! Who will win in 2020? Nominations open now, here:  https://buff.ly/3f2wNjU 
#BIGAwards #Sustainability #Sustainable  pic.twitter.com/q83DvhotO9",0.0,0.569,0.431,0.937
6558,"50 years of Earth! Wait, that's not right... 

The planet may have been here for 4.5 billion years, but weve been celebrating this holiday for 50. Take a moment to appreciate the Earth today!
#EarthDay2020 #earthday #sustainability #sustainable #ecology #planetearth pic.twitter.com/MSsqIXKYit",0.0,0.735,0.265,0.9368
