id,conversation_id,created_at,date,time,timezone,user_id,place,tweet,mentions,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,retweet_date,translate,trans_src,trans_dest
1.26409E+18,1.26409E+18,1.59022E+12,5/23/2020,07:22:23,UTC,579187212,,"Io l'ho detto e lo ripeto...
Peggio di così non era possibile gestire l'emergenza sanitaria in #Lombardia!!!
Solo #Thanos, il super cattivo nemico degli Avengers, avrebbe potuto fare più morti!!!
#Fontana",['fattoquotidiano'],[],1,0,3,"['#lombardia', '#thanos', '#fontana']",[],https://twitter.com/scaire72/status/1264094308350791680,FALSE,,0,,,,,,,,,,
1.26409E+18,1.26409E+18,1.59022E+12,5/23/2020,07:22:00,UTC,66677398,,DF FLASH SALE #Avengers #InfinityWar #comicbooks #sketches #signed & REMARKED @MarianoNicieza & JOE DELBEATO #secretinvasion #ironman #Hulk #Thor #spiderman #SpiderVerse #Thanos #CaptainMarvel #captainamerica @DisneyStudios @Marvel @DynamicForces  https://www.dynamicforces.com/htmlfiles/p-C127862.html … pic.twitter.com/Nc26Qc1WnG,"['marianonicieza', 'disneystudios', 'marvel', 'dynamicforces']",['https://pbs.twimg.com/media/EYb0HNCXYAATyOB.jpg'],1,0,0,"['#avengers', '#infinitywar', '#comicbooks', '#sketches', '#signed', '#secretinvasion', '#ironman', '#hulk', '#thor', '#spiderman', '#spiderverse', '#thanos', '#captainmarvel', '#captainamerica']",[],https://twitter.com/DynamicForces/status/1264094210682236928,FALSE,,0,,,,,,,,,,
1.26409E+18,1.26409E+18,1.59022E+12,5/23/2020,07:13:16,UTC,34667373,,Desperately need the #infinityGuantlet so that i can snap #COVID19 out of existence! #thanos #lockdownindia,[],[],0,0,0,"['#infinityguantlet', '#covid19', '#thanos', '#lockdownindia']",[],https://twitter.com/prodigal_fatman/status/1264092015890964480,FALSE,,0,,,,,,,,,,
1.26409E+18,1.26409E+18,1.59022E+12,5/23/2020,07:11:40,UTC,2884488573,,"""Titan War"" is availabe in @riptapparel  for a limited time! Choose your hero and go to war!!🔥🔥🔥🔥
▶️ http://www.riptapparel.com 
#MastersoftheUniverse #AvengersAssemble #CONAN #SaturdayMorning #Thanos #ThorLoveAndThunder #Thundercats #GodofWar #geekytshirtday3 #BuenosDias pic.twitter.com/CzsaWm1SNF",['riptapparel'],['https://pbs.twimg.com/media/EYr0nKqWsAAqVEH.jpg'],0,2,2,"['#mastersoftheuniverse', '#avengersassemble', '#conan', '#saturdaymorning', '#thanos', '#thorloveandthunder', '#thundercats', '#godofwar', '#geekytshirtday3', '#buenosdias']",[],https://twitter.com/BRD3sings/status/1264091612222717952,FALSE,,0,,,,,,,,,,
1.26408E+18,1.26408E+18,1.59022E+12,5/23/2020,06:44:17,UTC,3166948095,,"#Thanos Se Hizo Polvo

Igual, Que #Palpatine En Polvo, En ""Star Wars: Episodio IX, El Ascenso De Skywalker"" Del Año Pasado 2019

Y

A #TomMarvoloRiddle/#LordVoldemort En Polvo, En ""Harry Potter: Y Las Reliquias De La Muerte, Parte 2"" Del 2011

3 Villanos Poderosos, En Polvo

🎬⭐ pic.twitter.com/bY6O8YwYgL",[],"['https://pbs.twimg.com/media/EYruVdMU0AAUd9W.jpg', 'https://pbs.twimg.com/media/EYruWNCUEAAdYJP.jpg', 'https://pbs.twimg.com/media/EYruWXvU4AIBc1T.jpg']",1,0,0,"['#thanos', '#palpatine', '#tommarvoloriddle', '#lordvoldemort']",[],https://twitter.com/ferspeed2609/status/1264084720507224064,FALSE,,0,,,,,,,,,,
1.26408E+18,1.26408E+18,1.59022E+12,5/23/2020,06:43:19,UTC,3166948095,,"@Cinepolis #EndGame Termine De Ver ""Avengers: End Game"" Grite Como Loquito, Con El Regreso De Mi #SpiderMan Y De Los Demas, Viendo A Mi #CapitanaMarvel 😍❤ Y #IronMan Trono Los Dedos👌Eliminando A #Thanos Y Es El Inicio De ""Spider-Man 2: Lejos De Casa"" 🎬⭐  pic.twitter.com/sjdK2S54FK",['cinepolis'],"['https://pbs.twimg.com/media/EYrt83fU0AI-z2T.jpg', 'https://pbs.twimg.com/media/EYruGQ-U8AAg-gI.jpg', 'https://pbs.twimg.com/media/EYruG9SU8AAc_mm.jpg', 'https://pbs.twimg.com/media/EYruHrIU4AARHcG.jpg']",1,1,0,"['#endgame', '#spiderman', '#capitanamarvel', '#ironman', '#thanos']",[],https://twitter.com/ferspeed2609/status/1264084478822998016,FALSE,,0,,,,,,,,,,
1.26408E+18,1.26408E+18,1.59022E+12,5/23/2020,06:38:03,UTC,9.01155E+17,,Vei sacana 🤣🤔 #memesbr #coronavírus #Thanos #Marvel  https://www.instagram.com/p/CAhUU0oHV9N/?igshid=zl5f9nge06ny …,[],[],0,1,0,"['#memesbr', '#coronavírus', '#thanos', '#marvel']",[],https://twitter.com/Rogers697/status/1264083150747119616,FALSE,,0,,,,,,,,,,
1.26408E+18,1.26407E+18,1.59021E+12,5/23/2020,06:08:18,UTC,8.98309E+17,,"Goleadores con apellidos con f... aun asi esoero q tnga suertecilla por 1 vez en un sorteo, para ese #DoctorStrange o #thanos",['mrfreaki'],[],0,0,1,"['#doctorstrange', '#thanos']",[],https://twitter.com/Fernand33892831/status/1264075664182870017,FALSE,,0,,,,,,,,,,
1.26406E+18,1.26406E+18,1.59021E+12,5/23/2020,05:04:18,UTC,1542133261,,"Everyone, meet Will Smanos

He was inevitable 

#thanos #meme #thanosmeme #WillSmith pic.twitter.com/OWA9q5GppD",[],['https://pbs.twimg.com/media/EYrXd36WoAQG3ms.jpg'],0,0,1,"['#thanos', '#meme', '#thanosmeme', '#willsmith']",[],https://twitter.com/PsychoticWolfie/status/1264059560412745734,FALSE,,0,,,,,,,,,,
1.26405E+18,1.26405E+18,1.59021E+12,5/23/2020,04:34:32,UTC,7.94407E+17,,"Thor: Ragnarok
Pretty much Bulk all the time.

Avengers: Infinity War
EASILY trashed by Thanos and then, Gammaimpotence.
No more #Hulk.
Banner gets armor, if you can believe that.🙄

Avengers: EndGame
Professor Bulk, professional Dabber.
No #Thanos rematch.

😐  pic.twitter.com/DEyl5QQBBT",[],"['https://pbs.twimg.com/media/EYrPY5aXgAcBaRi.jpg', 'https://pbs.twimg.com/media/EYrPnTXWkAIJf7j.jpg', 'https://pbs.twimg.com/media/EYrP4asXkAAS_fg.jpg']",5,2,19,"['#hulk', '#thanos']",[],https://twitter.com/DT2ComicsChat/status/1264052065891954688,FALSE,,0,,,,,,,,,,
1.26405E+18,1.26402E+18,1.59021E+12,5/23/2020,04:31:23,UTC,26869655,,#Thanos himself! Josh Brolin is awesome and was super nice. And built like a brick house.  pic.twitter.com/sZbUlNHffA,[],['https://pbs.twimg.com/media/EYrP7oXXsAE8Jy0.jpg'],1,0,4,['#thanos'],[],https://twitter.com/shipperhipster/status/1264051274535833600,FALSE,,0,,,,,,,,,,
1.26402E+18,1.26402E+18,1.5902E+12,5/23/2020,02:16:42,UTC,18888465,,Did you see #InfinityWar? Take on #Thanos and his thugs yourself with Thanos Rising - @Avengers Infinity War cooperative #boardgame from @TheOpGames. Will you save the universe?  http://www.sahmreviews.com/2018/04/usaopoly-thanos-rising-avengers-infinity-war.html … #InfinityWarEvent #Marvel @Marvel #gamenight,"['avengers', 'theopgames', 'marvel']",[],1,1,1,"['#infinitywar', '#thanos', '#boardgame', '#infinitywarevent', '#marvel', '#gamenight']",[],https://twitter.com/SahmReviews/status/1264017382344966144,FALSE,,0,,,,,,,,,,
1.26402E+18,1.26402E+18,1.5902E+12,5/23/2020,02:13:44,UTC,8.70658E+17,,Newest addition to the room #Thanos  pic.twitter.com/Ye6npCroKm,[],[],0,0,0,['#thanos'],[],https://twitter.com/xTheRealBanksx/status/1264016632743149570,FALSE,,1,,,,,,,,,,
1.26401E+18,1.26346E+18,1.5902E+12,5/23/2020,02:06:48,UTC,453625407,,"Kisko pta tha Avengers ka main villain #Thanos  us se hoga 

Lgta tha ye galti se bna die Marvel wale

🤣","['ashchanchlani', 'girl_wid_humour']",[],0,0,1,['#thanos'],[],https://twitter.com/me__smarty/status/1264014889212731392,FALSE,,0,,,,,,,,,,
