,0,1,2,3,4,5,6,7,8,9
36,['Tenuta Colombarola'],['Red still'],['2016'],['\nVdT\n'],['Emilia-Romagna'],['100% '],['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 15.20'],['€ 14.03']
37,['Villa Poggio Salvi'],['Red still'],['2016'],['\nDOCG Morellino di Scansano\n'],['Tuscany'],['100% '],['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 10.44'],['€ 7.28']
38,['La Vis'],['Red still'],['2018'],['\nIGT Vigneti delle Dolimiti o Weinberg Dolomiten\n'],['Trentino Alto Adige'],['100% '],['12.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 8.43'],['€ 6.59']
39,['Zenato'],['Red still'],['2015'],['\nDOCG Amarone della Valpolicella Classico\n'],['Veneto'],"['80% ', ', 5% ', ', 10% ', ', 5% ']",['16.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 39.27'],['€ 36.00']
40,['La Spinetta'],['Red still'],['2016'],"[""\nDOCG Barbera d'Asti\n""]",['Piedmont'],['100% '],['14.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 17.02'],['€ 14.90']
41,['Valturio'],['Red still'],['2010'],['\nIGT Marche\n'],['Marche'],['100% '],['13.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 13.21'],['€ 10.25']
42,['Tenute del Cerro'],['Red still'],['2016'],['\nDOCG Vino Nobile di Montepulciano\n'],['Tuscany'],"['3% ', ', 5% ', ', 90% ', ', 2% ']",['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 14.14'],['€ 11.50']
43,['Feudi San Gregorio'],['Red still'],['2018'],['\nDOC Vesuvio Rosso lacryma christi\n'],['Campania'],"[', ']",['13.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 10.96'],['€ 8.42']
44,['Cantine Leonardo da Vinci'],['Red still'],['2016'],['\nDOC Romagna Sangiovese Superiore Riserva\n'],['Emilia-Romagna'],['85% '],['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 9.04'],['€ 7.00']
45,['Bricco dei Guazzi'],['Red still'],['2017'],['\n\nDOC Piemonte Albarossa\n'],['Piedmont'],['100% '],['15.50% by volume'],"['0,75 l Standard']",,['€ 17.08']
46,['Antinori'],['Red still'],['2016'],['\nDOCG Chianti Classico Riserva\n'],['Tuscany'],"[', 90% ']",['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 18.73'],['€ 15.25']
47,['San Marzano'],['Red still'],['2016'],['\nDOC Primitivo di Manduria\n'],['Apulia'],['100% '],['14.50% by volume'],"['0,75 l Standard']",,['€ 25.50']
48,['San Patrignano'],['Red still'],['2016'],['\nDOC Romagna Sangiovese Superiore Riserva\n'],['Emilia-Romagna'],['100% '],['14.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 18.23'],['€ 14.51']
49,['Castello di Uviglie'],['Red still'],['2016'],['\nDOCG Barbera del Monferrato Superiore\n'],['Piedmont'],['100% '],['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 14.60'],['€ 12.51']
50,['Feudi del Pisciotto'],['Red still'],['2017'],['\nDOCG Cerasuolo di Vittoria\n'],['Sicily'],"['60% ', ', 40% ']",['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 15.20'],['€ 13.90']
51,['Tommasi'],['Red still'],['2015'],['\nDOCG Amarone della Valpolicella Classico\n'],['Veneto'],"['50% ', ', 30% ', ', 15% ', ', 5% ']",['15.00% by volume'],"['0,75 l Standard']",,['€ 35.50']
